연번,호선,한글,한자,영문,중국어,일본어
179,6호선,불광,佛光,Bulgwang,佛光,プルグァン
180,6호선,독바위,독바위,Dokbawi,瓮岩,トッパウィ
181,6호선,연신내,연신내,Yeonsinnae,延新川,ヨンシンネ
182,6호선,구산,龜山,Gusan,龟山,クサン
183,6호선,새절(신사),새절(新寺),Saejeol(Sinsa),赛折(新寺),セジョル
184,6호선,증산(명지대앞),繒山(明知大앞),Jeungsan(Myongji Univ.),缯山(明知大学),チュンサン
185,6호선,디지털미디어시티,,Digital Media City,数码媒体城,デジタルメディアシティ
186,6호선,월드컵경기장(성산),월드컵競技場(城山),World Cup Stadium(Seongsan),世界杯体育场(城山),ワールドカップ・キョンギジャン
187,6호선,마포구청,麻浦區廳,Mapogu Office,麻浦区厅,マポグチョン
188,6호선,망원,望遠,Mangwon,望远,マンウォン
189,6호선,합정,合井,Hapjeong,合井,ハプチョン
190,6호선,상수,上水,Sangsu,上水,サンス
191,6호선,광흥창(서강),廣興倉(西江),Gwangheungchang(Seogang),广兴仓(西江),クァンフンチャン
192,6호선,대흥(서강대앞),大興(西江大앞),Daeheung(Sogang Univ.),大兴(西江大学),テフン
193,6호선,공덕,孔德,Gongdeok,孔德,コンドク
194,6호선,효창공원앞,孝昌公園앞,Hyochang Park ,孝昌公园,ヒョチャンゴンウォンアプ
195,6호선,삼각지(전쟁기념관),三角地(戦争紀念館),Samgakji(The War Memorial of Korea),三角地(战争纪念馆),サムガクチ(戦争記念館)
196,6호선,녹사평(용산구청),綠莎坪(龍山區廳),Noksapyeong(Yongsangu Office),绿莎坪(龙山区厅),ノッサピョン
197,6호선,이태원,梨泰院,Itaewon,梨泰院,イテウォン
198,6호선,한강진,漢江鎭,Hangangjin,汉江镇,ハンガンジン
199,6호선,버티고개,버티고개,Beotigogae,波堤岭,ポティゴゲ
200,6호선,약수,藥水,Yaksu,药水,ヤッス
201,6호선,청구,靑丘,Cheonggu,青丘,チョング
202,6호선,신당,新堂,Sindang,新堂,シンダン
203,6호선,동묘앞,東廟앞,Dongmyo,东庙,トンミョアプ
204,6호선,창신,昌信,Changsin,昌信,チャンシン
205,6호선,보문,普門,Bomun,普门,ポムン
206,6호선,안암(고대병원앞),安岩(高大病院앞),Anam(Korea Univ. Hospital),安岩(高丽大学医院),アナム
207,6호선,고려대(종암),高麗大(鍾岩),Korea Univ.(Jongam),高丽大学(钟岩),コリョデ
208,6호선,월곡(동덕여대),月谷(同德女大),Wolgok(Dongduk Women's Univ.),月谷(同德女子大学),ウォルゴク
209,6호선,상월곡(한국과학기술연구원),上月谷(韓國科學技術硏究院),Sangwolgok(KIST) ,上月谷(韩国科学技术硏究院),サンウォルゴク
210,6호선,돌곶이,돌곶이,Dolgoji,石串,トルゴジ
